protein,gene,A115,A116,A133,A134,A140,A144,A152,A113,A114,A118,A120,A136,A137,A139,A141,A143,A146,A147,A153,A117,A142,A148
FACE1,ZMPSTE24,16784000,49765000,6573200,8976200,21622000,9603900,45874000,10897000,16295000,14052000,8133200,6532700,4885500,2800200,5991100,3494900,14727000,10588000,8690500,8268100,10421000,19962000
PLSI,PLS1,11910000,1851400,3913000,2312700,5743300,4783600,3984400,1689100,13625000,1709600,23522000,3615300,7637900,8321000,3355400,8367700,14045000,21965000,2072600,6274500,3599700,21119000
AASS,AASS,6723900,523740,15631000,5379800,13927000,3755800,20775000,3340900,3814300,1947500,3410300,1834400,2576800,447040,5291100,1111700,1753400,15940000,1774400,3741600,3445600,8695600
4F2,SLC3A2,14038000,37995000,16329000,21857000,179480000,58061000,50290000,32575000,34413000,33987000,9206800,13765000,10259000,10762000,19633000,9046800,48107000,26441000,11818000,18446000,26707000,55512000
MMP1,MMP1,477390,8544000,928120,2109900,5542900,2963300,5034300,12303000,943560,1236800,484900,645870,137510,1423500,804350,1759400,568720,1068200,590530,743530,2065900,1872500
YIF1B,YIF1B,2151600,30233000,8709200,5117200,10591000,7559900,7646300,10316000,5080600,1177700,5578300,7093500,2392200,2680100,2561200,2021100,7489000,10839000,1166600,3568400,7237800,7140800
PPIH,PPIH,5260200,16590000,4745700,8143600,16320000,10359000,26359000,5360700,4903200,5725500,1873800,2783100,3049400,2303000,4810600,1984500,9785000,11602000,4334200,7493400,4984100,9376200
PTER,PTER,3015300,1959200,895600,2481900,2247900,5425200,5527000,3047200,7305300,7675300,6526300,765190,2689500,1663200,4719000,3374900,10625000,17699000,1778600,10382000,8858500,9160600
DSG3,DSG3,2985800,8556600,3697200,1461900,1767800,9842500,3918000,39588000,4502900,4006400,5990700,1728300,1099000,246330,2267900,1513000,3957600,3395200,3558400,2954500,6076900,16825000
HS74L,HSPA4L,5994400,22723000,8498000,8491200,12637000,9160500,7710900,7014500,27420000,19371000,7231600,9785300,6247900,59378000,13378000,8297700,30570000,15177000,45360000,13556000,23741000,31597000
FKBP5,FKBP5,3454600,12766000,9523900,10585000,8823100,7749200,16534000,10681000,17282000,30819000,2789800,3533500,5302600,2152600,27717000,2222700,52678000,58474000,7025200,16617000,12616000,63427000
ILEU,SERPINB1,41233000,35878000,58858000,67697000,82629000,180490000,57367000,33785000,169290000,125090000,35965000,38850000,91283000,115230000,148600000,54821000,209320000,439090000,59615000,107850000,139870000,370020000
MT1X,MT1X,9019900,1934000,4215000,3958300,7756900,10383000,34208000,NA,3978800,4099400,1535400,356380,578000,1528800,1651800,1726800,13715000,8727800,4988100,3751900,6006800,5419200
GALM,GALM,16635000,10963000,27499000,19888000,18867000,22492000,31664000,27036000,72210000,57468000,17276000,26188000,25794000,12170000,32883000,18298000,49474000,49830000,33523000,77868000,52226000,134270000
VPS36,VPS36,1665800,3813400,3213300,2983400,3181200,3896300,3738100,2677100,4605900,2691400,15081000,1364900,1162100,10310000,4772900,1590700,5680900,33528000,2798900,2044300,3052200,6086600
SPB4,SERPINB4,11177000,4512200,8949900,4574200,9362100,8414400,5106100,6864900,4610100,2003000,505950,1259000,2351000,1911900,3728900,1708300,7696300,7290400,2894100,4114700,4382900,3562200
P5CR1,PYCR1,664490,5228300,1232000,3537300,6795000,4513900,9368100,3291900,24880000,8395000,3114100,17405000,3681000,89678,6771600,1184000,8135700,30219000,1225500,12059000,2227500,10289000
MCM4,MCM4,9304900,72307000,8279700,14249000,12426000,23686000,60427000,5080200,13101000,6751800,5869300,5742100,6274200,2234400,1126700,5325400,13891000,43766000,5701000,11416000,9435000,38545000
MCM3,MCM3,24708000,48233000,23051000,19675000,30168000,25882000,47645000,14024000,16939000,5642900,9496400,12035000,13736000,10558000,9549500,10751000,16882000,24279000,24435000,12023000,11547000,14094000
PRDX1,PRDX1,353210000,880840000,370500000,376660000,1965900000,997140000,1452700000,318860000,718980000,490560000,193300000,265770000,182220000,135140000,226890000,195910000,431690000,600320000,552910000,384170000,472260000,673970000
SPON1,SPON1,7681600,32560000,22416000,13493000,15601000,23251000,15841000,27633000,10656000,7935300,7276000,5977000,3866700,5447200,14810000,1031300,13838000,9748500,14729000,8211600,10004000,16921000
PAK2,PAK2,22804000,42723000,18744000,59398000,309920000,64547000,114140000,27767000,24083000,39712000,12090000,13991000,83213000,3056100,36345000,13233000,44598000,114550000,26096000,23471000,32408000,77538000
CPNE2,CPNE2,4703500,3745200,2436000,2414400,4601000,5265700,2195400,3600600,4089700,4309400,19104000,3583900,3354400,835260,42819000,2023500,3781100,15970000,6635600,3456500,2942300,11234000
IMA5,KPNA1,4268800,9811200,3154500,6867100,14008000,8881700,15592000,1701500,2628600,4181600,1242600,1313700,1407000,1133900,1282100,1904900,3093600,10467000,3159100,4491100,6337100,10578000
DSC2,DSC2,3681500,17714000,2761700,2647300,4347000,10135000,14999000,496180,332960,2560100,653830,2243800,2677100,1363000,1410300,843540,2213100,6985900,3722400,3415100,1806700,5659700
MSH2,MSH2,2958200,8072400,7556100,6985800,9545500,9223100,15592000,7881000,4580300,3076900,1401700,1522600,2039800,400630,3351000,1181800,6034200,10016000,3169300,4806900,6754800,8196500
CKAP4,CKAP4,84661000,294790000,138830000,233540000,260220000,157810000,259960000,171800000,125370000,95087000,75212000,65999000,34968000,56497000,111750000,63854000,115960000,124620000,77761000,63272000,182090000,145060000
ANGL2,ANGPTL2,683420,3365700,2269600,4226800,9848000,2512000,2292200,3134000,769230,1005800,2270300,354980,398300,1283500,699840,369090,NA,3539800,1822600,1560900,3675900,2975000
RNAS2,RNASE2,3928800,10004000,18227000,9210600,4940700,10664000,6286200,50639000,6854100,12278000,1924300,4488800,2655200,5832200,11724000,2119800,7432300,8865500,2716200,4425800,14821000,9477900
PKN2,PKN2,2063400,5871200,2929600,6187100,2079200,901690,3784500,10452000,2215600,1079600,2113300,1603700,544070,NA,1167400,928500,4791300,5220900,3709700,1244700,1597400,2593700
P2RX4,P2RX4,1540200,2290600,2045200,8469000,1525600,1632300,1453700,1723000,1828100,6613900,10367000,3285900,12975000,1396400,3351100,7708500,7441300,3894500,979450,5722900,3443800,6319800
GPC1,GPC1,13387000,9427800,7362700,5751000,37137000,14408000,7340300,3913600,6528100,3993800,2420500,2429700,5105700,1586700,9145900,1172100,6750300,10485000,10080000,7891400,9007600,6664700
GNAS1,GNAS,18299000,19647000,19116000,16105000,49536000,19370000,25950000,18407000,22273000,28411000,11296000,14233000,10036000,8033200,35476000,79196000,39759000,59538000,165700000,151560000,22444000,26476000
DSG2,DSG2,11072000,20199000,4129000,12884000,19401000,15772000,59782000,20504000,21173000,4965500,4328900,11135000,5149400,9394700,4450400,3116300,13935000,18947000,1667700,4107900,10676000,25602000
NOL3,NOL3,2220700,749370,286090,1147300,10470000,1572800,1619400,396920,19543000,813070,2391800,2083200,3628100,3853400,1527800,2130900,11083000,7692900,1902200,2799900,1916900,5284500
VWA1,VWA1,3843800,5598700,4507100,7060000,18111000,4518400,2856700,6068400,4227000,3957000,3023900,2946200,1145700,3222700,3263500,1135900,7059900,5391000,1984700,1219900,2219200,3843400
GLNA,GLUL,6999300,2499600,50157000,3977900,16903000,32982000,18936000,7013800,9449300,16883000,1301900,1857300,6791800,3639500,5928100,3267600,6183100,12300000,5313000,14893000,14225000,16438000
ASML,ASMTL,11658000,9770500,9006500,9452400,7267200,11545000,7341000,31835000,6300400,8848000,3436000,6837500,4055300,1937100,5404700,1605900,3593800,4149300,4358500,9536000,9759900,13629000
PLPHP,PLPBP,13337000,14166000,15931000,16331000,18710000,24308000,59388000,8805800,11329000,12410000,3992200,6540900,8294500,2341700,13049000,6052800,13258000,22115000,12572000,8573500,10598000,14692000
CATG,CTSG,25375000,33775000,66983000,53480000,39201000,30884000,62557000,37726000,3424700,14959000,4453200,28548000,3558300,24203000,16868000,12951000,29307000,20543000,41017000,5669200,18391000,77249000
KI13B,KIF13B,735430,2150700,508030,4080500,5388800,350190,NA,2031200,937130,1101500,458790,1008500,727860,373400,1576300,1488800,710060,1040300,702200,831940,1311500,858160
PCY1A,PCYT1A,4485300,5668600,4957900,4584800,44784000,19472000,8266800,5469600,3525400,6022800,2788900,1863200,3176700,2753100,4789000,2403400,6793900,12123000,7011900,6381200,6324600,8344800
TAGL,TAGLN,410260000,1089200000,461570000,557910000,317480000,903760000,602060000,1312500000,644360000,587780000,182430000,156590000,150710000,82308000,508470000,197260000,263600000,124910000,834130000,285830000,508190000,347340000
FUCO2,FUCA2,2191200,28597000,10605000,1157700,26683000,1330700,5828000,7806200,7155300,10220000,4449100,6104800,175470,3059000,10034000,2803200,20328000,1266200,1032700,3701500,1722300,530700
FINC,FN1,25993000,230270000,58269000,235040000,129290000,132790000,109340000,106130000,53166000,95853000,49075000,15139000,95786000,77468000,15250000,24419000,53592000,132810000,68603000,45427000,76322000,83568000
ASGL1,ASRGL1,4428200,9608200,4391900,3743000,11685000,8601100,18808000,2986500,7844300,4001800,1074300,1296100,1986400,1781600,7933500,1422600,5084000,3181800,4434200,3910100,3304800,8229400
MCM2,MCM2,2044500,21023000,11009000,5099300,10971000,4978100,22014000,11832000,3509100,8823900,889120,6578200,2777400,5749800,8556000,1691300,4539900,11834000,8583100,1984800,3781400,7598600
S10A8,S100A8,241500000,678670000,2148300000,2889700000,1513300000,1350700000,1642500000,354770000,83369000,271610000,108310000,520720000,155330000,4857100000,137100000,483800000,364600000,267610000,689550000,153610000,362070000,917640000
TIM50,TIMM50,13465000,9786600,8613800,6041800,11528000,16600000,64070000,8154500,12849000,5257700,3338100,7173400,2958800,1879800,10083000,3638500,21293000,15688000,4153000,12789000,5977200,12759000
DMA,HLA-DMA,1470800,2350800,6009300,2042000,2011500,4678100,6074200,3124700,14207000,3263600,2964500,4334500,2472700,3225500,7079200,2424100,6274700,6921800,4658900,10985000,12070000,17030000
CLIP1,CLIP1,3281900,3707100,3131400,10350000,5461200,4225000,7685400,23645000,5718600,4127600,2103100,1691300,2299300,2949400,3300100,2218300,3950600,4819800,2367800,3504600,5815700,8558400
PXL2A,PRXL2A,54417000,11592000,30940000,9923300,37977000,46778000,46335000,13597000,21776000,17954000,4879500,6357700,6127400,2278400,12923000,4061300,33907000,35750000,10645000,18998000,8318400,34612000
SDC1,SDC1,18275000,10248000,9881000,7983400,38651000,43805000,19064000,5889800,17523000,9475400,5417200,5499800,6592300,1086800,9705000,11701000,13162000,10378000,6194700,5374900,15920000,16127000
COFA1,COL15A1,5388100,5622000,7232500,5202200,14562000,4299100,12146000,15017000,3777700,4181300,1864100,3083000,1461000,6137400,4956800,2269200,5733300,6031100,1909900,6172900,3974200,9049100
TACD2,TACSTD2,63097000,30605000,51625000,6765900,8394400,95863000,49175000,4080900,24209000,6295600,5511000,3343200,25480000,7837900,6123800,5816900,4785300,99448000,12068000,10693000,16684000,41849000
PLIN2,PLIN2,3345400,37475000,17651000,27400000,27067000,7687700,18910000,4398500,7310500,16758000,4651400,1770900,4985100,5062100,1088000,604170,5380700,14206000,13099000,8388500,3860800,38452000
MMP2,MMP2,12351000,26085000,25363000,30461000,34971000,20242000,29673000,59128000,13421000,18960000,7744600,26582000,14385000,10422000,13627000,4131000,4012200,8002000,21892000,8392900,10041000,46677000
AGR3,AGR3,13439000,4738900,21242000,8005000,13404000,130440,9917100,4575300,2272100,6905200,14011000,29735000,88934000,3749200,39250000,12770000,381550,5158700,19302000,13498000,4947800,23091000
FUS,FUS,35090000,51706000,27684000,43907000,66148000,61113000,73077000,20908000,14851000,28201000,7096200,11422000,20981000,5547800,26671000,10304000,34392000,50305000,19849000,24551000,31657000,46963000
DDX6,DDX6,28059000,30291000,25266000,34965000,88013000,42744000,65624000,30749000,21931000,20272000,9192900,19610000,15814000,10008000,26264000,13070000,36780000,36941000,21517000,21102000,28634000,22184000
RBBP7,RBBP7,22252000,51998000,11229000,41923000,32856000,55767000,90399000,14971000,12940000,18654000,2399500,3346200,6246900,2099200,16894000,6920700,27089000,54196000,14003000,26886000,30424000,59968000
PHS,PCBD1,18181000,7888900,11778000,6329200,24889000,12465000,8390500,5112400,44160000,15042000,10344000,8774300,18115000,5927700,28458000,6749300,36073000,34570000,12799000,27802000,18886000,63682000
VTA1,VTA1,5305300,7668900,7274400,5741200,6760700,6195200,11206000,10737000,3458900,3490400,2099800,2220400,1290400,4022900,4061000,1763800,3770500,5111400,2853600,2547800,3193700,13677000
S12A9,SLC12A9,730150,580480,488300,143490,2697000,3804600,3404800,709470,4225600,4224500,691670,1909100,1924100,154970,4059000,146820,4460300,6133600,1227800,3439400,3210800,7864500
BRX1,BRIX1,6055600,5894500,4225200,4796000,6838200,6198300,9557800,2463700,1500400,3395500,730810,2931400,1584300,1925500,2408000,1609200,5921600,6232600,1698400,2117400,905910,7586100
GALT3,GALNT3,6534600,6255600,863710,1948500,2472600,4452400,9698300,1569000,5554300,3236900,1158600,2324100,2600300,151200,8955500,2152100,14084000,26492000,1092000,31310000,4824800,13338000
CAN2,CAPN2,86722000,59522000,47436000,29281000,43185000,60901000,43186000,41205000,123770000,84440000,52287000,51259000,58196000,11571000,80176000,31589000,192040000,304370000,63428000,136190000,95678000,140170000
PPP5,PPP5C,12899000,90614000,9624900,19487000,32598000,17629000,39643000,13649000,7433500,14426000,6456900,5883300,8725500,5835600,13511000,6701600,27085000,34436000,12277000,17094000,18176000,31038000
HMCS1,HMGCS1,8550700,14544000,31657000,10118000,13737000,14020000,94280000,20181000,17536000,22464000,7039900,12703000,14899000,5225500,8607100,9179400,3385700,22014000,2546800,13740000,25688000,18506000
PDLI4,PDLIM4,5509100,15719000,3462700,20733000,11264000,14088000,21264000,15427000,1671400,12357000,4328300,3253600,2425700,3915900,4493900,3277800,7039200,6657300,3001400,4800700,7673800,30631000
ST1A4,SULT1A4,5235600,2167500,8429600,2805400,4879300,3102100,2255300,5149900,9299300,4527300,3458700,9820100,12884000,545350,12871000,4883300,6186900,6140600,7641600,10127000,4338800,24408000
LMO7,LMO7,2254200,6627300,7356700,5095100,4098700,1950200,4085300,3308500,5334400,1152900,7418000,6405500,7846900,3663000,10252000,4514200,15132000,21626000,5682100,10412000,9993300,10064000
MGST1,MGST1,70596000,6779900,56179000,29912000,40516000,149970000,137390000,20422000,88820000,74133000,56671000,41617000,117830000,44516000,73131000,24738000,239990000,277590000,47708000,190260000,168580000,311770000
AL7A1,ALDH7A1,12034000,38246000,17805000,18161000,13021000,14980000,36498000,15400000,44727000,26782000,10604000,23995000,30553000,466380,71959000,9223600,107710000,86381000,33172000,40871000,25404000,58334000
FIBA,FGA,46329000,261450000,138380000,43691000,98503000,132550000,176100000,75183000,17347000,92046000,14169000,119490000,64820000,73618000,23282000,64645000,81787000,57274000,77404000,49327000,59283000,73668000
CD9,CD9,158110000,219740000,76333000,91597000,101860000,344030000,358720000,72933000,76866000,160810000,57371000,54892000,61433000,31768000,125740000,25703000,103780000,160620000,78780000,93249000,131430000,111650000
CXA1,GJA1,1930100,4359300,1582800,2688700,10487000,6008900,8814200,1413300,910650,1667200,1506700,198120,485890,283480,440820,353480,9479900,2653500,784690,723570,2013000,287070
LAMC1,LAMC1,21893000,21680000,11366000,18045000,48286000,18779000,12013000,16575000,7650900,6188500,2353000,4370500,4590300,8086300,17526000,9053100,17625000,18966000,16012000,21023000,9643600,7905500
RFIP1,RAB11FIP1,10913000,18445000,38365000,25224000,31802000,20012000,6686500,6039400,15833000,8068400,4993200,8001000,8883000,12088000,3627300,7861300,8218600,23539000,17883000,8548100,6929700,6604100
AACT,SERPINA3,26468000,182180000,74690000,147140000,225190000,275250000,222430000,113940000,72743000,155330000,64468000,42418000,45608000,168660000,86859000,42320000,47613000,67631000,117150000,54622000,66162000,104090000
GBP5,GBP5,619000,7642200,3960600,7206400,11609000,3915100,12485000,2541100,19020000,2610800,5237400,5187700,3346100,10870000,4773500,1747600,19330000,16744000,7205400,18630000,17748000,38135000
PGRC1,PGRMC1,43555000,50386000,35741000,59718000,93546000,48051000,165820000,34371000,41965000,33512000,17459000,21321000,21857000,8971800,36872000,17134000,42824000,62157000,30397000,40860000,42700000,58687000
ESYT2,ESYT2,10744000,15774000,11133000,6691700,18988000,5481200,20967000,5889400,262830000,17262000,6865100,4315200,6539000,1459800,13823000,5761800,19197000,28940000,9827100,8739000,15388000,24172000
